Site,Subsite,Number,Divers,Hours Out,Total Effort,Recovery Rate,Date,Season,Collection
PB,8_1,1530,3,3,9,170,5/29/16,1,1
PB,8_1,500,3,1.5,4.5,111.11,9/18/16,1,2
PB,6,23,3,0.25,0.75,30.67,10/1/16,1,3
PB,8_1,1700,3,3,9,188.89,10/1/16,1,4
PB,8_2,506,2,1.5,3,168.67,10/5/16,1,5
PB,8_2,403,4,1.5,6,67.17,10/16/16,1,6
PB,8_2,751,2,2,4,187.75,10/19/16,1,7
PB,8_2,94,4,1,4,23.5,10/21/16,1,8
PB,8_2,112,5,1,5,22.4,11/1/16,1,9
PB,8_2,270,4,1,4,67.5,11/5/16,1,10
PB,8_2,419,4,1,4,104.75,11/11/16,1,11
PB,8_1,1903,5,3,15,126.87,11/22/16,1,12
PB,8_1,442,6,1.5,9,49.11,12/26/16,1,13
PB,8_1,27,2,1,2,13.5,1/13/17,1,14
PB,6,12,2,0.25,0.5,24,1/15/17,1,15
CR,1,69,2,1,2,34.5,1/15/17,1,16
CR,1,60,2,1,2,30,1/23/17,1,17
CR,1,50,1,1,1,50,1/23/17,1,17
PB,8_1,652,3,1.5,4.5,144.89,1/25/17,1,18
CR,1,1215,2,3,6,202.5,1/27/17,1,19
CR,1,13,3,0.5,1.5,8.67,1/29/17,1,20
CR,1,360,1,2,2,180,1/31/17,1,21
CR,1,12,3,0.5,1.5,8,2/7/17,1,22
PB,18-1,18,3,1.5,4.5,4,2/9/17,1,23
PB,8_2,108,2,1,2,54,2/16/17,1,24
PB,8_1,642,2,1.5,3,214,3/4/17,1,25
PB,18-2,18,3,0.5,1.5,12,3/10/17,1,26
PB,8_1,442,5,1.5,7.5,58.93,3/11/17,1,27
PB,18-2,77,2,1,2,38.5,3/25/17,1,28
PB,18-2,16,3,0.5,1.5,10.67,4/10/17,1,29
PB,8_1,273,1,1.5,1.5,182,4/13/17,1,30
PB,18-1,2240,2,2,4,560,4/24/17,1,31
PB,18-1,968,1,2,2,484,4/28/17,1,32
PB,18-1,140,3,1.5,4.5,31.11,4/28/17,1,32
CR,2,255,1,2,2,127.5,5/2/17,1,33
CP,16,14,1,0.5,0.5,28,5/12/17,1,34
PB,18-1,1106,1,2,2,553,5/12/17,1,35
PB,18-1,1054,2,2,4,263.5,5/16/17,1,36
CP,16,726,2,2.5,5,145.2,5/26/17,1,37
PB,6,18,2,0.25,0.5,36,5/27/17,1,38
PB,18-1,1095,2,2,4,273.75,5/27/17,1,39
PB,8_1,269,2,1.5,3,89.67,6/9/17,1,40
CP,16,180,1,2,2,90,7/4/17,1,41
CP,15,562,1,3,3,187.33,7/4/17,1,42
PB,8_2,12,1,0.166666,0.166666,72.000288,11/20/17,2,43
PB,6,3,2,0.083333,0.166666,18.000072,11/21/17,2,44
PB,6,1,2,0.166666,0.333332,3.000012,11/21/17,2,44
PB,8_1,305,2,1,2,152.5,11/21/17,2,45
PB,8_1,133,3,0.5,1.5,88.66666667,11/21/17,2,45
PB,8_1,432,1,1.5,1.5,288,11/21/17,2,45
PB,18-1,445,3,1,3,148.3333333,11/24/17,2,46
PB,18-2,978,3,1,3,326,11/24/17,2,47
PB,8_1,712,2,1,2,356,12/10/17,2,48
PB,18-1,364,3,0.333333333,1,364,12/10/17,2,49
PB,18-2,650,3,0.5,1.5,433.3333333,12/10/17,2,50
PB,8_2,14,1,0.25,0.25,56,12/11/17,2,51
PB,8_1,536,2,1,2,268,1/28/18,2,52
PB,18-1,1073,2,100,200,5.365,1/28/18,2,53
PB,18-1,4146,2,330,660,6.281818182,2/17/18,2,54
PB,18-2,1695,2,90,180,9.416666667,2/17/18,2,55
PB,8_1,428,3,1.166667,3.500001,122.2856793,3/11/18,2,56
PB,18-1,1462,3,2,6,243.6666667,3/11/18,2,57
PB,18-2,453,3,0.333333333,1,453,3/11/18,2,58
CR,2,124,1,1,1,124,4/15/18,2,59
PB,8_1,188,1,1,1,188,4/28/18,2,60
PB,8_2,23,2,0.166666667,0.333333333,69,4/28/18,2,61
PB,18-1,1250,1,6,6,208.3333333,5/8/18,2,62
PB,6,89,1,0.25,0.25,356,5/16/18,2,63
PB,8_1,223,1,1,1,223,5/16/18,2,64
PB,8_2,37,1,0.5,0.5,74,5/16/18,2,65
PB,8_1,227,2,1.5,3,75.66666667,5/19/18,2,66
PB,8_1,68,2,1,2,34,5/21/18,2,67
PB,18-1,273,3,0.833333333,2.5,109.2,5/28/18,2,68
PB,18-2,20,3,0.166666667,0.5,40,5/28/18,2,69
PB,18-1,318,1,2,2,159,6/3/18,2,70
PB,18-2,471,1,2,2,235.5,6/3/18,2,71
PB,8_2,27,2,0.333333333,0.666666667,40.5,6/10/18,2,72
PB,18-1,386,2,1,2,193,6/19/18,2,73
PB,18-2,67,2,0.416666667,0.833333333,80.4,6/19/18,2,74
PB,8_1,41,2,0.166666667,0.333333333,123,6/19/18,2,75
